,Education,City_Prague,Gender_Male,Loan term_4.0_12.0,Loan term_12.0_18.0,Loan term_18.0_24.0,Loan term_24.0_72.0,Loan Amount_250.0_1348.25,Loan Amount_1348.25_2325.5,Loan Amount_2325.5_3963.5,Loan Amount_3963.5_18424.0,Years since application_3.0_5.0,Years since application_5.0_8.0,Years since application_8.0_11.0,Years since application_11.0_13.0,Age_24.0_35.0,Age_35.0_41.0,Age_41.0_49.0,Age_49.0_73.0,DEFAULT
70,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
71,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
72,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
73,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
74,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
75,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
76,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
77,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
78,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
79,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
80,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
81,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
82,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
83,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
84,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
85,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
86,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
87,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
88,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
89,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
90,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
91,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
92,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
93,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
94,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
95,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
96,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
97,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
98,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
99,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
100,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
101,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
102,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
103,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
104,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
105,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
106,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
107,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
108,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
109,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
110,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
111,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
112,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
113,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
114,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
115,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
116,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
117,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
118,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
119,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
120,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
121,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
122,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
123,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
124,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
125,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
126,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
127,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
128,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
129,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
130,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
131,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
133,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
134,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
135,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
136,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
137,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
138,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
139,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
140,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
141,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
142,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
143,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
144,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
145,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
146,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
147,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
148,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
149,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
150,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
151,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
152,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
153,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
154,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
155,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
156,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
157,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
158,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
159,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
160,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
161,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
162,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1
163,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
164,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
165,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
166,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
167,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
168,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
169,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
170,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
171,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
172,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
173,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
174,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
175,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
176,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
177,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
178,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
179,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
180,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
181,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
182,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
183,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
184,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
185,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
186,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
187,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
188,2,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
189,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
190,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
191,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
192,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
193,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
194,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
195,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
196,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
197,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
198,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
199,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
200,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
201,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
202,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
203,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
204,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
205,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
206,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
207,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
208,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
209,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
210,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
211,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
212,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
213,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
214,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
215,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
216,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
217,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
218,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
219,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
220,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
221,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
222,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
223,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
224,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
225,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
226,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
227,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
228,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
229,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
230,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
231,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
232,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
233,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
234,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
235,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
236,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
237,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
238,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
239,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
240,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
241,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
242,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
243,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
244,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
245,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
246,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
247,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
248,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
249,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
250,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
251,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
252,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
253,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
254,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
255,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
